Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/end-of-life-planning/,google,desktop,/,No,3,0,0,7.00,3,0.00,2
/event/downsizing-homesharing-alternatives/,google,desktop,/,No,3,0,0,0.00,3,0.00,3
/food-access-and-delivery/,alittlehelp.org,desktop,/,No,3,0,0,100.00,3,0.00,1
/food-access-and-delivery/,google,desktop,/,No,3,0,0,15.00,3,0.00,3
/get-involved/,alittlehelp.org,desktop,/,No,3,0,0,54.67,3,0.00,1
/get-involved/,google,mobile,/,No,3,0,0,14.00,3,0.00,2
/get-started/,(direct),desktop,/blog/technology-and-aging/,No,3,0,0,17.33,3,0.00,1
/get-started/for-profit/,(direct),desktop,/,No,3,0,0,8.00,3,0.00,2
/get-started/for-profit/,google,desktop,/,No,3,0,0,399.50,3,0.00,3
/guide-to-aging-in-place/,(direct),desktop,/,No,3,0,0,60.67,3,0.00,3
/guide-to-aging-in-place/,google,desktop,/,No,3,0,0,34.00,3,0.00,3
/health-care-providers/,google,desktop,/about/,No,3,0,0,7.00,3,0.00,1
/in-home-care/help-adl/,bing,desktop,/provider/care-matters-always/,No,3,0,0,6.33,3,0.00,1
/mobility-transportation/nonprofit-transportation-agencies/,alittlehelp.org,desktop,/participating-providers/,No,3,0,0,20.33,3,0.00,1
/mobility/,(direct),desktop,/,No,3,0,0,12.50,3,0.00,3
/mobility/,google,desktop,/,No,3,0,0,17.33,3,0.00,2
/participating-providers/,(direct),mobile,/participating-providers/,No,3,3,0,56.00,3,56.00,3
/participating-providers/,bing,mobile,/about/,No,3,0,0,42.00,3,0.00,1
/participating-providers/,duckduckgo,desktop,/guide-to-aging-in-place/,No,3,0,0,30.00,4,0.00,1
/participating-providers/,google,tablet,/,No,3,0,0,32.33,3,0.00,1
/provider/adams-county-aging-network-acan/,google,mobile,/provider/adams-county-aging-network-acan/,No,3,3,0,0.00,3,0.00,3
/provider/aging-resources-of-douglas-county/,google,desktop,/provider/aging-resources-of-douglas-county/,No,3,3,0,0.00,3,0.00,3
/provider/helping-hands-consulting/,yahoo,mobile,/provider/helping-hands-consulting/,No,3,2,0,98.00,6,98.00,1
/provider/krista-keller-broker/,google,desktop,/provider/krista-keller-broker/,No,3,3,0,0.00,3,0.00,2
/provider/lifespark-cancer-resources/,google,desktop,/provider/lifespark-cancer-resources/,No,3,3,0,27.00,5,80.00,3
/provider/nymbl-science/,(direct),tablet,/provider/nymbl-science/,No,3,3,0,650.00,3,679.00,3
/provider/nymbl-science/,m.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR2JfcVmdPU4lcIz6qJTG9wzWiWbGdNH6CWxF8pU-pV6P5LSj3lLm7QblP4_aem_AT5aFd7V8EQv4rWRY5_YTZvbFTQan3uC0IcDgDxtJM4P4stKw0k2ydDIw9rCQwmZUWSm41hib1qhczHnbEME-ARiSuWzeA8LYrtnzKLT7iEyeMGn2N-XbIF4xVAzK2AZOcw,Yes,3,0,0,98.00,4,0.00,1
/provider/partners-in-medicare/,(direct),desktop,/provider/partners-in-medicare/,No,3,1,0,96.50,4,294.00,1
/provider/pikes-peak-area-council-of-governments-area-agency-on-aging/,google,mobile,/provider/pikes-peak-area-council-of-governments-area-agency-on-aging/,No,3,2,0,711.00,3,1422.00,2
/provider/state-unit-on-aging/,(direct),desktop,/directory-submission-form/,No,3,0,0,651.00,3,0.00,1
/provider/sunshine-home-share-colorado/,google,desktop,/provider/sunshine-home-share-colorado/,No,3,3,0,0.00,4,0.00,2
/provider/the-osterman-law-firm-p-c/,(direct),desktop,/,No,3,0,0,361.00,4,0.00,1
/provider/transitions-senior-care-llc/,google,desktop,/provider/transitions-senior-care-llc/,No,3,3,0,0.00,6,0.00,2
/provider/trublue-total-house-care/,alittlehelp.org,desktop,/participating-providers/,No,3,0,0,33.50,4,0.00,2
/senior-housing-options/,google,desktop,/guide-to-aging-in-place/,No,3,0,0,14.00,3,0.00,1
